po_number,item_number,material_id,material_description,plant,storage_location,order_qty,uom,net_price,price_unit,item_value,delivery_date,item_category,account_assignment_category,deletion_flag,delivery_completed_flag,invoice_receipt_flag,goods_receipt_flag
4500000001,00010,M500196,Pallet Kit A-376,AUS1,0001,400,EA,11.87,1,4747.64,2026-07-25,CONSIGNMENT,,N,N,Y,Y
4500000001,00020,M500095,Sensor IC Lite-863,DAL1,0001,1000,EA,4.86,1,4859.74,2026-06-04,CONSIGNMENT,F,N,N,Y,Y
4500000001,00030,M500292,Power Board Pro-923,DAL1,0001,200,EA,9.37,1,1874.54,2026-05-10,CONSIGNMENT,K,N,N,Y,Y
4500000001,00040,M500255,Heat Sink X-806,AUS1,0001,100,EA,22.57,1,2256.94,2026-06-16,STANDARD,F,N,N,N,Y
4500000001,00050,M500190,Label Set B-913,DAL1,0001,10,EA,4.65,1,46.54,2026-06-01,STANDARD,,N,N,Y,N
4500000002,00010,M500139,Fan Module A-595,KCH1,BLK1,1000,EA,12.60,1,12604.32,2026-06-22,SUBCON,F,N,Y,N,Y
4500000002,00020,M500125,Ribbon Cable A-476,MTY1,BLK1,2000,M,36.21,1,72412.73,2026-06-29,SUBCON,,N,N,N,Y
4500000002,00030,M500017,Signal Cable C-765,DAL1,0002,1000,EA,13.81,1,13806.18,2026-05-09,SUBCON,,N,N,Y,Y
4500000002,00040,M500171,Power IC Lite-353,AUS1,0001,400,EA,10.95,1,4379.84,2026-06-04,CONSIGNMENT,F,N,N,Y,Y
4500000002,00050,M500053,Switch Pro-762,AUS1,REC1,1000,EA,46.77,1,46765.48,2026-07-11,CONSIGNMENT,F,N,N,Y,Y
4500000003,00010,M500140,Harness C-191,KCH1,REC1,100,EA,3.61,1,361.47,2026-05-13,SUBCON,K,N,Y,Y,Y
4500000003,00020,M500008,Motor Assembly X-524,KCH1,0002,2000,EA,12.60,1,25193.21,2026-03-21,SUBCON,K,N,Y,N,Y
4500000003,00030,M500098,Screw B-776,PHX1,0001,1500,EA,17.37,1,26060.47,2026-04-08,CONSIGNMENT,F,N,N,Y,Y
4500000003,00040,M500047,Screw C-821,KCH1,0001,500,EA,18.72,1,9360.18,2026-05-04,CONSIGNMENT,K,N,Y,Y,Y
4500000003,00050,M500276,Harness B-124,PHX1,0002,200,M,6.73,1,1345.47,2026-03-03,CONSIGNMENT,K,N,N,Y,Y
4500000004,00010,M500121,Power Cable C-148,MTY1,0001,2000,EA,13.07,1,26140.37,2026-02-12,SUBCON,,N,N,Y,Y
4500000004,00020,M500025,Lubricant Pro-840,DAL1,0001,750,EA,8.14,1,6103.05,2026-04-08,STANDARD,F,N,N,Y,Y
