recommendation_id,exception_id,agent_name,confidence_score,recommended_action,draft_subject,draft_message,approval_status,created_on
AR00000001,EX00000001,PO_OVERDUE_AGENT,0.72,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000001,"Hello, please provide an update for PO 4500000001 item 00030. Send expedite request and ask for revised commit date.",APPROVED,2026-05-28
AR00000002,EX00000002,PO_OVERDUE_AGENT,0.83,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000001,"Hello, please provide an update for PO 4500000001 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000003,EX00000003,PO_OVERDUE_AGENT,0.69,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000001,"Hello, please provide an update for PO 4500000001 item 00040. Send expedite request and ask for revised commit date.",SENT,2026-05-28
AR00000004,EX00000004,PO_OVERDUE_AGENT,0.75,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000002,"Hello, please provide an update for PO 4500000002 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000005,EX00000005,PO_OVERDUE_AGENT,0.77,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000002,"Hello, please provide an update for PO 4500000002 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000006,EX00000006,PO_OVERDUE_AGENT,0.96,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000002,"Hello, please provide an update for PO 4500000002 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000007,EX00000007,PO_OVERDUE_AGENT,0.7,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000002,"Hello, please provide an update for PO 4500000002 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000008,EX00000008,PO_OVERDUE_AGENT,0.8,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000002,"Hello, please provide an update for PO 4500000002 item 00040. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000009,EX00000009,PO_OVERDUE_AGENT,0.68,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00010. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000010,EX00000010,SUPPLIER_ACK_AGENT,0.85,Send acknowledgement reminder and escalate if no response in 24 hours.,Action required: ACK MISSING for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00020. Send acknowledgement reminder and escalate if no response in 24 hours.",PENDING,2026-05-28
AR00000011,EX00000011,PO_OVERDUE_AGENT,0.92,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00020. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000012,EX00000012,PO_OVERDUE_AGENT,0.78,Send expedite request and ask for revised commit date.,Action required: PO OVERDUE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00030. Send expedite request and ask for revised commit date.",PENDING,2026-05-28
AR00000013,EX00000013,SUPPLIER_ACK_AGENT,0.89,Request split shipment or alternate source review.,Action required: SUPPLIER COMMIT LATE for PO 4500000003,"Hello, please provide an update for PO 4500000003 item 00030. Request split shipment or alternate source review.",PENDING,2026-05-28
