message_id,po_number,item_number,supplier_id,direction,subject,body,sent_date,received_date,sentiment,extracted_commit_date,extracted_qty,source_system
MSG000000001,4500000001,00010,S100030,INBOUND,PO 4500000001 Item 00010 - Price Dispute,Supplier response received; details require buyer review.,2026-05-27,2026-05-17,urgent,2026-07-25,343,GMAIL
MSG000000002,4500000001,00020,S100030,OUTBOUND,PO 4500000001 Item 00020 - Price Dispute,Supplier response received; details require buyer review.,2026-05-16,,concerned,2026-06-04,423,REGRELLO
MSG000000003,4500000001,00030,S100030,OUTBOUND,PO 4500000001 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-18,,urgent,2026-05-10,0,PORTAL
MSG000000004,4500000001,00040,S100030,OUTBOUND,PO 4500000001 Item 00040 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-25,,concerned,2026-06-16,41,REGRELLO
MSG000000005,4500000001,00050,S100030,OUTBOUND,PO 4500000001 Item 00050 - Partial,Supplier response received; details require buyer review.,2026-05-14,,positive,2026-06-01,5,GMAIL
MSG000000006,4500000002,00020,S100037,OUTBOUND,PO 4500000002 Item 00020 - Qty Dispute,Supplier response received; details require buyer review.,2026-05-18,,neutral,2026-06-29,853,REGRELLO
MSG000000007,4500000002,00030,S100037,OUTBOUND,PO 4500000002 Item 00030 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-17,,urgent,2026-05-09,0,OUTLOOK
MSG000000008,4500000002,00040,S100037,INBOUND,PO 4500000002 Item 00040 - Acknowledged,Supplier response received; details require buyer review.,2026-05-25,2026-05-20,neutral,2026-06-04,354,OUTLOOK
MSG000000009,4500000003,00010,S100022,INBOUND,PO 4500000003 Item 00010 - Rejected,Supplier rejected PO line. Capacity unavailable. Buyer action required.,2026-05-26,2026-05-23,negative,,55,PORTAL
MSG000000010,4500000003,00020,S100022,OUTBOUND,PO 4500000003 Item 00020 - Missing,Reminder sent to supplier requesting PO acknowledgement and committed delivery date.,2026-05-15,,urgent,2026-03-21,0,OUTLOOK
