po_number,item_number,material_id,material_description,plant,storage_location,order_qty,uom,net_price,price_unit,item_value,delivery_date,item_category,account_assignment_category,deletion_flag,delivery_completed_flag,invoice_receipt_flag,goods_receipt_flag,confirmation_control_key
4500002001,00010,M100001,Microprocessor Core v1,PL01,SL01,200,PC,15,1,3000,2026-07-18,STANDARD,,N,N,N,N,ZACK
4500002002,00010,M100002,Power Regulator IC,PL01,SL01,500,PC,8.5,1,4250,2026-07-13,STANDARD,,N,N,N,N,ZACK
4500002003,00010,M100001,Microprocessor Core v1,PL01,SL01,300,PC,15,1,4500,2026-07-02,STANDARD,,N,N,N,N,ZACK
4500002004,00010,M100006,"LCD Display Module 7""",PL01,SL01,50,PC,45,1,2250,2026-06-26,STANDARD,,N,N,N,N,ZACK
4500002005,00010,M100005,Copper Wire Spool 10m,PL03,SL03,1000,EA,3.2,1,3200,2026-06-28,STANDARD,,N,N,N,N,
4500002006,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15,1,1500,2026-06-13,STANDARD,,N,N,N,N,ZACK
4500002007,00010,M100002,Power Regulator IC,PL01,SL01,200,PC,8.5,1,1700,2026-07-06,STANDARD,,N,N,N,N,ZACK
4500002008,00010,M100001,Microprocessor Core v1,PL01,SL01,150,PC,15,1,2250,2026-06-15,STANDARD,,N,N,N,Y,ZACK
4500002009,00010,M100001,Microprocessor Core v1,PL01,SL01,400,PC,15,1,6000,2026-06-23,STANDARD,,N,N,N,Y,ZACK
4500002010,00010,M100006,"LCD Display Module 7""",PL01,SL01,100,PC,45,1,4500,2026-06-11,STANDARD,,N,N,N,Y,ZACK
4500002011,00010,M100002,Power Regulator IC,PL01,SL01,1000,PC,8.5,1,8500,2026-05-19,STANDARD,,N,N,N,Y,ZACK
4500002012,00010,M100005,Copper Wire Spool 10m,PL03,SL03,500,EA,3.2,1,1600,2026-06-08,STANDARD,,N,N,N,Y,ZACK
4500002013,00010,M100001,Microprocessor Core v1,PL01,SL01,80,PC,15,1,1200,2026-06-30,STANDARD,,N,N,N,N,ZACK
4500002014,00010,M100003,Aluminum Housing Shell,PL02,SL02,60,PC,22,1,1320,2026-07-08,STANDARD,,N,N,N,N,
4500002015,00010,M100002,Power Regulator IC,PL01,SL01,200,PC,8.5,1,1700,2026-07-16,STANDARD,,Y,N,N,N,ZACK
4500002016,00010,M100002,Power Regulator IC,PL01,SL01,300,PC,8.5,1,2550,2026-06-16,STANDARD,,N,N,N,Y,ZACK
4500002017,00010,M100006,"LCD Display Module 7""",PL01,SL01,30,PC,45,1,1350,2026-08-02,STANDARD,,N,N,N,N,ZACK
4500002018,00010,M100008,FPGA Dev Module XC7A,PL04,SL04,10,PC,120,1,1200,2026-07-28,STANDARD,,N,N,N,N,ZACK
4500002019,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15,1,1500,2026-06-23,STANDARD,,N,N,N,Y,ZACK
4500002019,00020,M100002,Power Regulator IC,PL01,SL01,250,PC,8.5,1,2125,2026-06-23,STANDARD,,N,N,N,N,ZACK
4500002020,00010,M100005,Copper Wire Spool 10m,PL03,SL03,800,EA,3.2,1,2560,2026-06-28,STANDARD,,N,N,N,N,
4500002021,00010,M100003,Aluminum Housing Shell,PL01,SL01,40,PC,22,1,880,2026-07-08,THIRD_PARTY,,N,N,N,N,
4500002022,00010,M100002,Power Regulator IC,PL01,SL01,2000,PC,8.5,1,17000,2026-06-21,CONSIGNMENT,,N,N,N,N,
4500002023,00010,M100001,Microprocessor Core v1,PL01,SL01,120,PC,15,1,1800,2026-07-03,STANDARD,,N,N,N,N,ZACK
4500002024,00010,M100001,Microprocessor Core v1,PL01,SL01,200,PC,15,1,3000,2026-07-08,STANDARD,,N,N,N,N,ZACK
4500002025,00010,M100008,FPGA Dev Module XC7A,PL04,SL04,5,PC,120,1,600,2026-08-02,STANDARD,,N,N,N,N,ZACK
4500002026,00010,M100002,Power Regulator IC,PL01,SL01,300,PC,8.5,1,2550,2026-06-30,STANDARD,,N,N,N,N,ZACK
4500002027,00010,M100001,Microprocessor Core v1,PL01,SL01,75,PC,15,1,1125,2026-06-03,STANDARD,,N,Y,N,Y,ZACK
4500002028,00010,M100002,Power Regulator IC,PL01,SL01,600,PC,8.5,1,5100,2026-05-29,STANDARD,,N,N,Y,Y,ZACK
4500002029,00010,M100006,"LCD Display Module 7""",PL01,SL01,25,PC,45,1,1125,2026-07-18,STANDARD,,N,N,N,N,ZACK
4500002030,00010,M100007,Thermal Paste Compound,PL03,SL03,50,KG,12,1,600,2026-06-25,STANDARD,,N,N,N,N,
4500002031,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15,1,1500,2026-07-06,STANDARD,,N,N,N,N,ZACK
4500002032,00010,M100001,Microprocessor Core v1,PL01,SL01,300,PC,15,1,4500,2026-07-03,STANDARD,,N,N,N,N,ZACK
4500002033,00010,M100008,FPGA Dev Module XC7A,PL04,SL04,8,PC,120,1,960,2026-06-25,STANDARD,,N,N,N,N,ZACK
