material_id,material_description,material_group,base_uom,division,product_hierarchy,abc_indicator,critical_part_flag,serial_managed_flag,batch_managed_flag,standard_price,currency
M500001,Driver IC C-446,SEMICON,EA,30,SEM-7512,C,N,N,N,5.86,USD
M500002,Switch B-493,ELECTROMECH,EA,20,ELE-2747,B,N,N,N,12.32,USD
M500003,RF Board B-305,PCB,EA,10,PCB-9837,C,N,N,N,0.41,USD
M500004,Power Cable Pro-326,CABLE,M,30,CAB-8606,C,N,N,Y,27.40,USD
M500005,Voltage Regulator Pro-356,SEMICON,EA,10,SEM-2801,C,Y,Y,N,3.93,USD
M500006,Power Cable X-711,CABLE,EA,20,CAB-9282,C,Y,N,N,28.01,USD
M500007,Bolt Lite-152,FASTENER,EA,20,FAS-6119,B,N,N,N,4.56,USD
M500008,Motor Assembly X-524,ELECTROMECH,EA,20,ELE-4531,C,N,N,N,15.74,USD
M500009,Power Cable A-547,CABLE,M,10,CAB-8138,C,N,N,N,5.19,USD
M500010,Power Cable Pro-175,CABLE,EA,20,CAB-8404,A,N,N,N,10.90,USD
M500011,RF Board C-795,PCB,EA,30,PCB-1857,C,N,Y,Y,13.07,USD
M500012,Microcontroller C-964,SEMICON,EA,10,SEM-9317,C,N,N,Y,2.19,USD
M500013,Foam Insert C-153,PACKAGING,EA,30,PAC-8873,C,N,Y,N,20.63,USD
M500014,Microcontroller A-362,SEMICON,EA,10,SEM-3449,B,N,N,Y,4.61,USD
M500015,Power IC A-638,SEMICON,EA,30,SEM-9312,C,N,Y,N,2.00,USD
M500016,MOSFET C-379,SEMICON,EA,10,SEM-7029,B,N,N,N,5.62,USD
M500017,Signal Cable C-765,CABLE,EA,10,CAB-2858,A,N,N,N,13.33,USD
M500018,Motor Assembly A-228,ELECTROMECH,EA,20,ELE-2215,B,N,N,N,35.46,USD
M500019,Screw A-756,FASTENER,EA,30,FAS-5336,C,N,N,N,8.09,USD
M500020,Voltage Regulator X-627,SEMICON,EA,20,SEM-9171,C,N,Y,N,7.34,USD
M500021,Relay A-240,ELECTROMECH,EA,30,ELE-6456,C,N,N,N,4.65,USD
M500022,Motor Assembly C-778,ELECTROMECH,EA,20,ELE-9609,B,N,N,N,10.69,USD
M500023,Foam Insert B-151,PACKAGING,EA,30,PAC-9700,B,N,Y,N,6.94,USD
M500024,Mount Plate B-971,CASTING,EA,30,CAS-8668,B,N,N,N,22.07,USD
M500025,Lubricant Pro-840,MRO,EA,30,MRO-1187,B,N,N,N,7.56,USD
M500026,Relay X-235,ELECTROMECH,EA,30,ELE-7806,B,Y,N,N,16.40,USD
M500027,Fan Module X-182,ELECTROMECH,EA,30,ELE-9835,A,N,Y,N,6.48,USD
M500028,Carton B-615,PACKAGING,EA,20,PAC-4836,C,N,N,N,13.19,USD
M500029,MOSFET B-152,SEMICON,EA,20,SEM-7179,C,N,N,N,48.97,USD
M500030,Power Board C-420,PCB,EA,20,PCB-1749,C,Y,N,N,57.36,USD
M500031,Heat Sink A-614,CASTING,EA,30,CAS-8054,C,N,Y,Y,3.60,USD
M500032,Driver IC C-116,SEMICON,EA,10,SEM-3362,C,N,N,Y,3.53,USD
M500033,Motor Assembly Pro-624,ELECTROMECH,EA,20,ELE-2692,A,N,Y,N,4.76,USD
M500034,Cleaning Kit X-421,MRO,EA,10,MRO-7524,C,N,N,N,9.87,USD
M500035,Motor Assembly Lite-612,ELECTROMECH,EA,10,ELE-6651,C,N,N,N,15.90,USD
M500036,Power IC Lite-928,SEMICON,EA,10,SEM-2667,C,N,N,N,0.89,USD
M500037,Fan Module X-271,ELECTROMECH,EA,10,ELE-1505,C,N,Y,N,1.32,USD
M500038,Power Board Lite-502,PCB,EA,20,PCB-3329,C,N,N,N,66.93,USD
M500039,Backplane Pro-233,PCB,EA,30,PCB-8951,C,N,N,Y,35.10,USD
M500040,Power Board X-771,PCB,EA,10,PCB-2559,A,N,N,N,61.45,USD
M500041,Driver IC B-606,SEMICON,EA,20,SEM-2847,B,N,Y,N,1.93,USD
M500042,Fan Module Pro-723,ELECTROMECH,EA,10,ELE-6067,C,N,N,Y,8.08,USD
M500043,Switch C-945,ELECTROMECH,EA,10,ELE-7108,A,N,Y,N,8.42,USD
M500044,Carton Pro-236,PACKAGING,EA,30,PAC-7461,A,N,N,N,4.17,USD
M500045,Gloves X-975,MRO,EA,20,MRO-5093,A,N,N,Y,4.25,USD
M500046,Backplane X-452,PCB,EA,30,PCB-9231,B,N,Y,N,0.94,USD
M500047,Screw C-821,FASTENER,EA,30,FAS-7481,C,N,N,N,17.79,USD
M500048,Foam Insert B-562,PACKAGING,EA,10,PAC-1547,B,N,N,Y,3.01,USD
M500049,Memory Chip Pro-662,SEMICON,EA,20,SEM-3516,A,Y,Y,N,12.86,USD
M500050,Switch X-576,ELECTROMECH,EA,20,ELE-4706,C,N,N,N,0.82,USD
M500051,Mount Plate A-276,CASTING,EA,20,CAS-7602,A,N,N,Y,24.53,USD
M500052,Carton B-297,PACKAGING,EA,10,PAC-1944,B,N,N,N,0.73,USD
M500053,Switch Pro-762,ELECTROMECH,EA,30,ELE-5631,B,N,Y,N,55.45,USD
M500054,Label Set X-907,PACKAGING,EA,20,PAC-7089,B,N,N,N,42.96,USD
M500055,Lubricant Lite-159,MRO,EA,10,MRO-8406,B,N,N,N,7.51,USD
M500056,Power Board A-492,PCB,EA,30,PCB-6015,A,N,N,N,23.69,USD
M500057,Sensor IC C-737,SEMICON,EA,30,SEM-3247,B,N,N,N,1.22,USD
M500058,Control Board C-934,PCB,EA,20,PCB-3996,A,N,N,N,16.23,USD
