exception_id,exception_type,severity,status,po_number,item_number,material_id,plant,supplier_id,detected_on,due_date,days_past_due,root_cause,financial_impact_estimate,assigned_buyer
EX_4500002004_00010,PO_OVERDUE,HIGH,NEW,4500002004,00010,M100001,PL01,VEND-001,2026-04-01,2026-05-20,21,Overdue open quantity with high line value,15000,Alex Buyer
EX_4500002006_00010,ACK_MISSING,MEDIUM,NEW,4500002006,00010,M100001,PL01,VEND-001,2026-05-15,2026-06-30,0,Acknowledgement required but missing after 14 days,1500,Alex Buyer
EX_4500002008_00010,PO_OVERDUE,HIGH,NEW,4500002008,00010,M100001,PL01,VEND-001,2026-05-05,2026-06-02,8,Overdue and reminder already sent once,6000,Sarah Planner
EX_4500002009_00010,PO_OVERDUE,MEDIUM,NEW,4500002009,00010,M100001,PL01,VEND-001,2026-05-02,2026-06-08,2,Overdue PO line eligible for supplier email reminder,1500,Alex Buyer
EX_4500002010_00010,ACK_MISSING,CRITICAL,NEW,4500002010,00010,M100003,PL02,VEND-002,2026-05-12,2026-07-20,0,High-value open order (>50K USD) missing acknowledgement,125000,Sarah Planner
EX_4500002012_00010,PRICE_DISPUTE,MEDIUM,NEW,4500002012,00010,M100001,PL01,VEND-001,2026-04-10,2026-05-10,31,Invoice price variance detected; blocked in AP,0,Alex Buyer
EX_4500002013_00010,PRICE_DISPUTE,LOW,NEW,4500002013,00010,M100001,PL01,VEND-001,2026-05-01,2026-06-01,9,Goods received fully but invoice is missing,0,Alex Buyer
EX_4500002014_00010,PRICE_DISPUTE,HIGH,NEW,4500002014,00010,M100003,PL02,VEND-002,2026-05-15,2026-06-30,0,Invoice received before Goods Receipt (GR/IR mismatch),25000,Sarah Planner
EX_4500002016_00010,PO_OVERDUE,NONE,NEW,4500002016,00010,M100001,PL01,VEND-001,2026-04-10,2026-05-10,31,Closed / Fully received and invoiced,0,Alex Buyer
EX_4500002017_00010,PO_OVERDUE,LOW,NEW,4500002017,00010,M100001,PL01,VEND-001,2026-05-10,2026-06-25,0,Potential duplicate order of PO 4500002001,1500,Alex Buyer
EX_4500002018_00010,INVENTORY_MISMATCH,HIGH,NEW,4500002018,00010,M100001,PL01,VEND-001,2026-05-10,INVALID_DATE,0,Invalid delivery date value 'INVALID_DATE',1500,Alex Buyer
EX_4500002020_00010,PO_OVERDUE,HIGH,NEW,4500002020,00010,S200002,PL03,VEND-003,2026-02-01,2026-05-15,26,Overdue service line (>45k EUR),45000,Sarah Planner
EX_4500002021_00010,PO_OVERDUE,LOW,NEW,4500002021,00010,M100001,PL01,VEND-001,2026-05-20,2026-06-25,0,Multi-line PO - Line 10,2250,Alex Buyer
EX_4500002021_00020,PO_OVERDUE,LOW,NEW,4500002021,00020,M100002,PL02,VEND-001,2026-05-20,2026-06-25,0,Multi-line PO - Line 20,750,Alex Buyer
EX_4500002022_00010,PO_OVERDUE,CRITICAL,NEW,4500002022,00010,M100003,PL02,VEND-002,2026-04-10,2026-05-15,26,Overdue open quantity and high line value (>50k USD),75000,Sarah Planner
EX_4500002023_00010,ACK_MISSING,HIGH,NEW,4500002023,00010,M100001,PL01,VEND-001,2026-04-20,2026-05-20,21,Overdue PO line with missing supplier acknowledgement,3000,Alex Buyer
EX_4500002024_00010,PO_OVERDUE,MEDIUM,NEW,4500002024,00010,M100001,PL01,VEND-001,2026-05-01,2026-06-01,9,Delivery date passed and no Goods Receipt (GR) entered,1500,Alex Buyer
EX_4500002025_00010,PRICE_DISPUTE,HIGH,NEW,4500002025,00010,S200003,PL03,VEND-003,2026-03-01,2026-04-30,41,High-value invoice blocked (>50k EUR) due to price discrepancy,0,Sarah Planner
EX_4500002026_00010,PO_OVERDUE,HIGH,NEW,4500002026,00010,M100001,PL01,VEND-001,2026-04-15,2026-05-15,26,Repeated supplier delay (>25 days overdue and 3 reminders sent),1500,Alex Buyer
EX_4500002028_00010,PRICE_DISPUTE,HIGH,NEW,4500002028,00010,M100001,PL01,VEND-001,2026-05-01,2026-05-30,11,Received quantity (120) is greater than ordered quantity (100),-300,Alex Buyer
EX_4500002029_00010,INVENTORY_MISMATCH,HIGH,NEW,4500002029,00010,M100001,PL01,VEND-001,2026-05-01,2026-06-10,0,Ordered quantity has negative value (-50),-750,Alex Buyer
EX_4500002030_00010,INVENTORY_MISMATCH,CRITICAL,NEW,4500002030,00010,M100001,PL01,,2026-05-01,2026-06-10,0,Supplier vendor ID is missing / null in purchase order item,1500,Alex Buyer
